,Nombres_completos,ano,codigo_partido,nombre_partido,votos,Nuevo_S,Nuevo_P,EGIVECTOR,DEGREECENTR,CLOSESNES,BETWEENES,SECTORSOCIAL,Educación,Salud,Trabajo,Agricultura,Vivienda,JUSTICIAYSEGURIDAD,Justicia,Defensa,PoliciaNacional,INFRAESTRUCTURA,ObrasPúblicas,MinasyEnergía,Comunicaciones,ADMON.DELESTADOYOTROS,Gobierno,RelacionesExteriores,Hacienda,Desarrollo,CongresoNacional,C.G.R,DepartamentosAdmin.*,Otros**,DEUDAPUBLICA(intereses),GASTOTOTAL,INF,SECTOR_SOCIAL_PER,JUSTICIA_SEGURIDAD_PER,INFRAESTRUCTURA_PER,ADMON_ESTADO_PER,DEUDA_PUBLICA_PER,Prop_S,Prop_P
11660,CARLOS FERNANDO MOTOA SOLARTE,2010.0,20030001.0,PARTIDO CAMBIO RADICAL COLOMBIANO,41975.0,1,1,0.0095890919706919,0.106060606060606,0.3416062465142219,0.0023039511655017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
11925,CARLOS GERMAN NAVAS TALERO,2010.0,20050001.0,POLO DEMOCRATICO ALTERNATIVO,39771.0,1,1,2.24224971476098e-28,0.0454545454545454,0.0454545454545454,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
12190,CARLOS JULIO BONILLA SOTO,2010.0,18480001.0,PARTIDO LIBERAL COLOMBIANO,26658.0,1,0,0.0049598094997379,0.1931818181818181,0.3268991282689912,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
12455,CARLOS RAMIRO CHAVARRO CUELLAR,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,79003.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
12720,CARLOS ROBERTO FERRO SOLANILLA,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,44804.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
12985,CESAR TULIO DELGADO BLANDON,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,46280.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
13250,CIRO ANTONIO RODRIGUEZ PINZON,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,35448.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
13515,CLAUDIA JENNETH WILCHES SARMIENTO,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,44036.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
13780,CLAUDIA MARCELA AMAYA GARCIA,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,29189.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
14045,CONSTANTINO RODRIGUEZ CALVO,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,3123.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
